"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","1999-12","Dec-1999","IDX","Index","0","Units","2010_100","2010=100",85.93839,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-01","Jan-2000","IDX","Index","0","Units","2010_100","2010=100",85.2375,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-02","Feb-2000","IDX","Index","0","Units","2010_100","2010=100",85.64085,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-03","Mar-2000","IDX","Index","0","Units","2010_100","2010=100",86.0508,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-04","Apr-2000","IDX","Index","0","Units","2010_100","2010=100",85.97475,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-05","May-2000","IDX","Index","0","Units","2010_100","2010=100",86.38471,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-06","Jun-2000","IDX","Index","0","Units","2010_100","2010=100",86.36818,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-07","Jul-2000","IDX","Index","0","Units","2010_100","2010=100",85.95823,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-08","Aug-2000","IDX","Index","0","Units","2010_100","2010=100",86.01774,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-09","Sep-2000","IDX","Index","0","Units","2010_100","2010=100",86.62606,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-10","Oct-2000","IDX","Index","0","Units","2010_100","2010=100",86.81451,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-11","Nov-2000","IDX","Index","0","Units","2010_100","2010=100",86.8641,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2000-12","Dec-2000","IDX","Index","0","Units","2010_100","2010=100",86.77814,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-01","Jan-2001","IDX","Index","0","Units","2010_100","2010=100",86.52026,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-02","Feb-2001","IDX","Index","0","Units","2010_100","2010=100",86.83434,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-03","Mar-2001","IDX","Index","0","Units","2010_100","2010=100",87.47572,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-04","Apr-2001","IDX","Index","0","Units","2010_100","2010=100",88.23612,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-05","May-2001","IDX","Index","0","Units","2010_100","2010=100",88.83452,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-06","Jun-2001","IDX","Index","0","Units","2010_100","2010=100",88.70558,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-07","Jul-2001","IDX","Index","0","Units","2010_100","2010=100",88.25265,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-08","Aug-2001","IDX","Index","0","Units","2010_100","2010=100",88.47086,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-09","Sep-2001","IDX","Index","0","Units","2010_100","2010=100",89.21472,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-10","Oct-2001","IDX","Index","0","Units","2010_100","2010=100",88.97338,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-11","Nov-2001","IDX","Index","0","Units","2010_100","2010=100",89.00644,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2001-12","Dec-2001","IDX","Index","0","Units","2010_100","2010=100",89.08578,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2002-01","Jan-2002","IDX","Index","0","Units","2010_100","2010=100",88.86758,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2002-02","Feb-2002","IDX","Index","0","Units","2010_100","2010=100",89.08248,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2002-03","Mar-2002","IDX","Index","0","Units","2010_100","2010=100",89.84618,,
"CPALTT01","Consumer prices - all items","SWE","Sweden","IXOB","Index","M","Monthly","2002-04","Apr-2002","IDX","Index","0","Units","2010_100","2010=100",90.23631,,
