"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","INR","Indian Rupee","0","Units",,,10.205535,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","INR","Indian Rupee","0","Units",,,10.342186,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","INR","Indian Rupee","0","Units",,,10.436904,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","INR","Indian Rupee","0","Units",,,10.661046,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","INR","Indian Rupee","0","Units",,,10.856901,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","INR","Indian Rupee","0","Units",,,11.171323,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","INR","Indian Rupee","0","Units",,,11.281641,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","INR","Indian Rupee","0","Units",,,11.648347,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","INR","Indian Rupee","0","Units",,,12.131331,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","INR","Indian Rupee","0","Units",,,12.928856,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","INR","Indian Rupee","0","Units",,,13.609484,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","INR","Indian Rupee","0","Units",,,14.653168,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","INR","Indian Rupee","0","Units",,,15.109435,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","INR","Indian Rupee","0","Units",,,16.001032,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","INR","Indian Rupee","0","Units",,,16.724728,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","INR","Indian Rupee","0","Units",,,16.997371,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","INR","Indian Rupee","0","Units",,,16.99611,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","INR","Indian Rupee","0","Units",,,17.536,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","ZAR","Rand","0","Units",,,2.569586,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","ZAR","Rand","0","Units",,,2.733416,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","ZAR","Rand","0","Units",,,2.876738,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","ZAR","Rand","0","Units",,,3.179053,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","ZAR","Rand","0","Units",,,3.297481,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","ZAR","Rand","0","Units",,,3.418707,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","ZAR","Rand","0","Units",,,3.492615,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","ZAR","Rand","0","Units",,,3.601111,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","ZAR","Rand","0","Units",,,3.81817,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","ZAR","Rand","0","Units",,,4.07543,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","ZAR","Rand","0","Units",,,4.348249,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","ZAR","Rand","0","Units",,,4.568608,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","ZAR","Rand","0","Units",,,4.773938,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","ZAR","Rand","0","Units",,,4.945981,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","ZAR","Rand","0","Units",,,5.15795,,
